@ NAME             %06s "NONLIN"
@ TYPE             %06s "NONLIN"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "03/09/19"
@ TIME             %08s "16.32.42"
* NAME               NICKNAME           BASEVARIABLE                    VALUE      ORDER    ORDER_X   ORDER_PX    ORDER_Y   ORDER_PY   ORDER_PT    ORDER_T 
$ %s                 %s                 %s                                %le         %d         %d         %d         %d         %d         %d         %d 
 "GNFA_0_3_0_0_0_0"  "F_030000"          "GEN_FUN_AMP"            0.01281846841          3          0          3          0          0          0          0
 "GNFS_0_3_0_0_0_0"  "F_030000_IM"       "GEN_FUN_SIN"            0.01250667057          3          0          3          0          0          0          0
 "GNFC_0_3_0_0_0_0"  "F_030000_RE"       "GEN_FUN_COS"          -0.002810039791          3          0          3          0          0          0          0
 "GNFA_1_0_2_0_0_0"  "F_102000"          "GEN_FUN_AMP"            0.02928113844          3          1          0          2          0          0          0
 "GNFS_1_0_2_0_0_0"  "F_102000_IM"       "GEN_FUN_SIN"            0.02776290536          3          1          0          2          0          0          0
 "GNFC_1_0_2_0_0_0"  "F_102000_RE"       "GEN_FUN_COS"           0.009306242761          3          1          0          2          0          0          0
 "GNFA_0_1_2_0_0_0"  "F_012000"          "GEN_FUN_AMP"            0.03444253266          3          0          1          2          0          0          0
 "GNFS_0_1_2_0_0_0"  "F_012000_IM"       "GEN_FUN_SIN"            0.03390991083          3          0          1          2          0          0          0
 "GNFC_0_1_2_0_0_0"  "F_012000_RE"       "GEN_FUN_COS"           0.006033738778          3          0          1          2          0          0          0
 "GNFA_1_0_1_1_0_0"  "F_101100"          "GEN_FUN_AMP"            0.03986384627          3          1          0          1          1          0          0
 "GNFS_1_0_1_1_0_0"  "F_101100_IM"       "GEN_FUN_SIN"            0.03975571638          3          1          0          1          1          0          0
 "GNFC_1_0_1_1_0_0"  "F_101100_RE"       "GEN_FUN_COS"           0.002934153129          3          1          0          1          1          0          0
 "GNFA_0_1_1_1_0_0"  "F_011100"          "GEN_FUN_AMP"            0.03986384627          3          0          1          1          1          0          0
 "GNFS_0_1_1_1_0_0"  "F_011100_IM"       "GEN_FUN_SIN"           -0.03975571638          3          0          1          1          1          0          0
 "GNFC_0_1_1_1_0_0"  "F_011100_RE"       "GEN_FUN_COS"           0.002934153129          3          0          1          1          1          0          0
 "GNFA_2_0_0_0_1_0"  "F_200010"          "GEN_FUN_AMP"            0.05239210402          3          2          0          0          0          1          0
 "GNFS_2_0_0_0_1_0"  "F_200010_IM"       "GEN_FUN_SIN"           -0.05101066245          3          2          0          0          0          1          0
 "GNFC_2_0_0_0_1_0"  "F_200010_RE"       "GEN_FUN_COS"            0.01195177309          3          2          0          0          0          1          0
 "GNFA_1_1_0_0_1_0"  "F_110010"          "GEN_FUN_AMP"           0.001553959753          3          1          1          0          0          1          0
 "GNFS_1_1_0_0_1_0"  "F_110010_IM"       "GEN_FUN_SIN"         -0.0003768905999          3          1          1          0          0          1          0
 "GNFC_1_1_0_0_1_0"  "F_110010_RE"       "GEN_FUN_COS"            -0.0015075624          3          1          1          0          0          1          0
 "GNFA_0_2_0_0_1_0"  "F_020010"          "GEN_FUN_AMP"            0.05239210402          3          0          2          0          0          1          0
 "GNFS_0_2_0_0_1_0"  "F_020010_IM"       "GEN_FUN_SIN"            0.05063377185          3          0          2          0          0          1          0
 "GNFC_0_2_0_0_1_0"  "F_020010_RE"       "GEN_FUN_COS"           -0.01345933549          3          0          2          0          0          1          0
 "GNFA_0_0_2_0_1_0"  "F_002010"          "GEN_FUN_AMP"            0.07571845343          3          0          0          2          0          1          0
 "GNFS_0_0_2_0_1_0"  "F_002010_IM"       "GEN_FUN_SIN"             0.0747402483          3          0          0          2          0          1          0
 "GNFC_0_0_2_0_1_0"  "F_002010_RE"       "GEN_FUN_COS"             0.0121317548          3          0          0          2          0          1          0
 "GNFA_1_0_0_2_0_0"  "F_100200"          "GEN_FUN_AMP"            0.03444253266          3          1          0          0          2          0          0
 "GNFS_1_0_0_2_0_0"  "F_100200_IM"       "GEN_FUN_SIN"           -0.03390991083          3          1          0          0          2          0          0
 "GNFC_1_0_0_2_0_0"  "F_100200_RE"       "GEN_FUN_COS"           0.006033738778          3          1          0          0          2          0          0
 "GNFA_0_1_0_2_0_0"  "F_010200"          "GEN_FUN_AMP"            0.02928113844          3          0          1          0          2          0          0
 "GNFS_0_1_0_2_0_0"  "F_010200_IM"       "GEN_FUN_SIN"           -0.02776290536          3          0          1          0          2          0          0
